Name & Info ,City ,Gender ,Age ,Beds ,Note,Intake Info,Services,Categorie
Parkway Shelter,Surrey,Any gender,19+,Full,,24 hr,,24 Hour
 10666 City Park Way,,,,Updated: about 1 hour ago,,,,
 604-582-0408,,,,,,,,
All Nations Youth Safe House - Klahow-eya,Surrey,Any gender,15 - 18,Any: 3,,24 hr,,24 Hour
 address hidden,,,,Men: 1,,,,
 604-584-2625,,,,Updated: about 1 hour ago,,,,
Surrey Welcome Hub,Surrey,Any gender,19+,-,Does intake for other SUMS shelters.,Guests must be at the shelter at 9:30AM or 9:30PM to find out if there are open beds. Staff will do lottery system if there are more,none,24 Hour
Shelter (SWH),,,,,,people than beds. (Also an EWR site),,
 13545 King George,,,,,,,,
Blvd,,,,,,,,
 604-585-1023,,,,,,,,
Commercial-,Vancouver,Any gender,0+,Any: 20,,"4pm - 8am First come, first served, no hold on mats",,Lineup
Hastings Shelter,,,,Updated: about 9 hours ago,,,,
 1738 East Hastings,,,,,,,,
Street,,,,,,,,
 236-885-3330,,,,,,,,
The Gathering Place,Vancouver,Any gender,19+,Any: 34,,Sign up begins at 8:30pm. Curfew is 11pm.,,Lineup
 609 Helmcken Street,,,,Updated: about 9 hours ago,,,,
 ,,,,,,,,
The Beacon,Vancouver,Men,19+,Men: 5,"No holds over phone. Guests are assessed at door. Behaviourbased criteria to determine access to, or restriction from the shelter.",24hr; intake 8:00AM- 11:30PM; curfew 10:30PM,none,24 Hour
 108 East Hastings,,,,Updated: about 9 hours ago,,,,
Street,,,,,,,,
 604-646-6846,,,,,,,,
Vi Fineday Family,Vancouver,Families,19+,Full,,24 hr; High Barrier,none,24 Hour
Shelter Society  address hidden,,,,Updated: about 9 hours ago,,,,
 604-736-2423,,,,,,,,
The Osborn,Vancouver,Any gender,19+,-,,Call or show up at 12pm to be put on their list. Intake occurs in person at 5pm daily. May be able to accept couples.,,24 Hour
 27 West Hastings,,,,,,,,
Street,,,,,,,,
 604-681-2806,,,,,,,,
Name & Info ,City ,Gender ,Age ,Beds ,Note,Intake Info,Services,Categorie
,,/Families,Range,Available,,,,
Women's Emergency,Vancouver,Women,19+,-,,"24 hrs, call for availability. Women need to show up in person to be put on a waitlist.",,Lineup
Shelter (412 Shelter),,,,,,,,
 412 East Cordova,,,,,,,,
Street,,,,,,,,
 604-423-48070,,,,,,,,
The Haven,Vancouver,Men,19+,Full,"No holds over phone. Guests are assessed at door. Behaviourbased criteria to determine access to, or restriction from the shelter.",24hr; intake 8:00AM to 11:30PM; curfew 10:30PM,none,24 Hour
 108 East Hastings,,,,Updated: about 9 hours ago,,,,
Street,,,,,,,,
 604-646-6806,,,,,,,,
The Sisterhood,Vancouver,Women,19+,-,Harm Reduction Shelter.,"24 hours, 7 days per week. Partially wheelchair accessible (walkers, canes ok).",,24 Hour
 342 Alexander St,,,,,,,,
 604-681-7916,,,,,,,,
Triage Shelter,Vancouver,Any gender,19+,-,,Bed access is generally through referrals by partner agencies. Only serves individuals with mental health and/or substance use issues.,,24 Hour
 707 Powell Street,,,,,,,,
 604-254-3700,,,,,,,,
1660 Shelter (VAFCS),Vancouver,Any gender,19+,Men: 1,,"Sign up/entry starts at 3pm daily first come, first served. Curfew",,Lineup
 1660 East Hastings,,,,Women: 2,,11pm.,,
Street,,,,Updated: about 1 hour ago,,,,
 604-428-3625,,,,,,,,
Belkin House -,Vancouver,"Women,",19+,Full,,High barrier; 8:30 am-4:00 am; no intake between 4:00 am-8:30 am;,none,24 Hour
Women And,,Women with children,,Updated: about 1 hour ago,,,,
Children’s Shelter,,,,,,,,
 555 Homer Street,,,,,,,,
 ,,,,,,,,
Klahowya Tillicum,Vancouver,Any gender,19+,Full,,Low barrier 24hr shelter.,,24 Hour
Lalum,,,,Updated: about 9 hours ago,,,,
 875 Terminal Avenue,,,,,,,,
 236-484-0544,,,,,,,,
DEWC Women's,Vancouver,Women,19+,-,Open from 11:30 pm to 6 pm seven days a week. Closed 6pm to 11:30 pm,First come first serve,,Lineup
Overflow Shelter,,,,,,,,
 265 East Hastings,,,,,,,,
Street,,,,,,,,
 ,,,,,,,,
Powell Place Shelter,Vancouver,Women,19+,Full,,24 hr,none,24 Hour
For Women,,,,Updated: about 1 hour ago,,,,
 329 Powell Street,,,,,,,,
 604-606-0403,,,,,,,,
Springhouse,Vancouver,"Women,",19+,Full,,24 hr,,24 Hour
 address hidden,,Women with children,,Updated: about 1 hour ago,,,,
 604-606-0412,,,,,,,,
The Crosswalk,Vancouver,Men,19+,Men: 3,Call for availability,"No holds over phone. Guests are assessed at door. Behaviourbased criteria to determine access to, or restriction from the shelter.",none,24 Hour
 108 East Hastings,,,,Updated: about 9 hours ago,,,,
Street,,,,,,,,
 604-646-6875,,,,,,,,
Covenant House -,Vancouver,Any gender,16 - 24,Full,,24hr intake. Only for youth with mental health/substance use issues.,none,24 Hour
Sanctuary Shelter,,,,Updated: about 1 hour ago,,,,
 1302 Seymour St,,,,,,,,
 672-963-3299,,,,,,,,
Imperial Shelter,Vancouver,Any gender,0+,Any: 20,,"Intake at 4 pm. Closes at 8 a.m. Meal, snack and morning oatmeal.",,Lineup
 325 Main Street,,,,Updated: about 9 hours ago,,,,
 604-209-5648,,,,,,,,
Metson Shelter (aka,Vancouver,Any gender,19+,Full,,"Overnight shelter, open 4pm10am with beds saved for returning guests. Intake 11-4 Monday to Friday. Partially accessible for canes and walkers.",,Lineup
Community Builders),,,,Updated: about 9 hours ago,,,,
 1060 Howe Street,,,,,,,,
 604-428-3686,,,,,,,,
Aboriginal Shelter,Vancouver,Any gender,19+,Men: 55,Currently only accepting male patrons. Arrive before midnight.,Intake 3PM (possibly earlier in extreme weather); line-up 2-3PM.,,Lineup
 201 Central Street,,,,Updated: about 9 hours ago,Cannot be under influence.,No intakes after 11 pm.,,
 604-682-5556,,,,,,,,
Name & Info ,City ,Gender ,Age ,Beds ,Note,Intake Info,Services,Categorie
,,/Families,Range,Available,,,,
Women's Emergency,Vancouver,Women,19+,-,,"24 hrs, call for availability. Women need to show up in person to be put on a waitlist.",,Lineup
Shelter (412 Shelter),,,,,,,,
 412 East Cordova,,,,,,,,
Street,,,,,,,,
 604-423-48070,,,,,,,,
The Haven,Vancouver,Men,19+,Full,"No holds over phone. Guests are assessed at door. Behaviourbased criteria to determine access to, or restriction from the shelter.",24hr; intake 8:00AM to 11:30PM; curfew 10:30PM,none,24 Hour
 108 East Hastings,,,,Updated: about 9 hours ago,,,,
Street,,,,,,,,
 604-646-6806,,,,,,,,
The Sisterhood,Vancouver,Women,19+,-,Harm Reduction Shelter.,"24 hours, 7 days per week. Partially wheelchair accessible (walkers, canes ok).",,24 Hour
 342 Alexander St,,,,,,,,
 604-681-7916,,,,,,,,
Triage Shelter,Vancouver,Any gender,19+,-,,Bed access is generally through referrals by partner agencies. Only serves individuals with mental health and/or substance use issues.,,24 Hour
 707 Powell Street,,,,,,,,
 604-254-3700,,,,,,,,
1660 Shelter (VAFCS),Vancouver,Any gender,19+,Men: 1,,"Sign up/entry starts at 3pm daily first come, first served. Curfew",,Lineup
 1660 East Hastings,,,,Women: 2,,11pm.,,
Street,,,,Updated: about 1 hour ago,,,,
 604-428-3625,,,,,,,,
Belkin House -,Vancouver,"Women,",19+,Full,,High barrier; 8:30 am-4:00 am; no intake between 4:00 am-8:30 am;,none,24 Hour
Women And,,Women with children,,Updated: about 1 hour ago,,,,
Children’s Shelter,,,,,,,,
 555 Homer Street,,,,,,,,
 ,,,,,,,,
Klahowya Tillicum,Vancouver,Any gender,19+,Full,,Low barrier 24hr shelter.,,24 Hour
Lalum,,,,Updated: about 9 hours ago,,,,
 875 Terminal Avenue,,,,,,,,
 236-484-0544,,,,,,,,
DEWC Women's,Vancouver,Women,19+,-,Open from 11:30 pm to 6 pm seven days a week. Closed 6pm to 11:30 pm,First come first serve,,Lineup
Overflow Shelter,,,,,,,,
 265 East Hastings,,,,,,,,
Street,,,,,,,,
 ,,,,,,,,
Powell Place Shelter,Vancouver,Women,19+,Full,,24 hr,none,24 Hour
For Women,,,,Updated: about 1 hour ago,,,,
 329 Powell Street,,,,,,,,
 604-606-0403,,,,,,,,
Springhouse,Vancouver,"Women,",19+,Full,,24 hr,,24 Hour
 address hidden,,Women with children,,Updated: about 1 hour ago,,,,
 604-606-0412,,,,,,,,
The Crosswalk,Vancouver,Men,19+,Men: 3,Call for availability,"No holds over phone. Guests are assessed at door. Behaviourbased criteria to determine access to, or restriction from the shelter.",none,24 Hour
 108 East Hastings,,,,Updated: about 9 hours ago,,,,
Street,,,,,,,,
 604-646-6875,,,,,,,,
Covenant House -,Vancouver,Any gender,16 - 24,Full,,24hr intake. Only for youth with mental health/substance use issues.,none,24 Hour
Sanctuary Shelter,,,,Updated: about 1 hour ago,,,,
 1302 Seymour St,,,,,,,,
 672-963-3299,,,,,,,,
Imperial Shelter,Vancouver,Any gender,0+,Any: 20,,"Intake at 4 pm. Closes at 8 a.m. Meal, snack and morning oatmeal.",,Lineup
 325 Main Street,,,,Updated: about 9 hours ago,,,,
 604-209-5648,,,,,,,,
Metson Shelter (aka,Vancouver,Any gender,19+,Full,,"Overnight shelter, open 4pm10am with beds saved for returning guests. Intake 11-4 Monday to Friday. Partially accessible for canes and walkers.",,Lineup
Community Builders),,,,Updated: about 9 hours ago,,,,
 1060 Howe Street,,,,,,,,
 604-428-3686,,,,,,,,
Aboriginal Shelter,Vancouver,Any gender,19+,Men: 55,Currently only accepting male patrons. Arrive before midnight.,Intake 3PM (possibly earlier in extreme weather); line-up 2-3PM.,,Lineup
 201 Central Street,,,,Updated: about 9 hours ago,Cannot be under influence.,No intakes after 11 pm.,,
 604-682-5556,,,,,,,,
